Unnamed: 0,dvs_x,leaf.number_x,LAI_x,DW(g/m2)_x,pot.FW(g)_x,real.FW(g)_x,loss(%)_x,bolting_x,dvs_y,leaf.number_y,LAI_y,DW(g/m2)_y,pot.FW(g)_y,real.FW(g)_y,loss(%)_y,bolting_y
2017-09-20,0.0,6.0,0.0,0.3,1.6,1.6,0.0,0.0,0.0,6.0,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-21,0.0,6.1,0.0,0.3,1.6,1.6,0.0,0.0,0.0,6.1,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-22,0.1,6.2,0.0,0.3,1.6,1.6,0.0,0.0,0.1,6.2,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-23,0.1,6.3,0.0,0.3,1.6,1.6,0.0,0.0,0.1,6.3,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-24,0.1,6.4,0.0,0.3,1.7,1.7,0.0,0.0,0.1,6.4,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-25,0.2,6.5,0.0,0.3,1.7,1.7,0.0,0.0,0.2,6.5,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-26,0.2,6.6,0.0,0.3,1.7,1.7,0.0,0.0,0.2,6.6,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-27,0.2,6.6,0.0,0.3,1.7,1.7,0.0,0.0,0.2,6.6,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-28,0.2,6.7,0.0,0.3,1.8,1.8,0.0,0.0,0.2,6.7,0.0,0.3,1.8,1.8,0.0,0.0
2017-09-29,0.3,6.8,0.0,0.3,1.8,1.8,0.0,0.0,0.3,6.8,0.0,0.3,1.8,1.8,0.0,0.0
2017-09-30,0.3,7.5,0.0,0.3,1.9,1.9,0.0,0.0,0.3,7.5,0.0,0.3,1.9,1.9,0.0,0.0
2017-10-01,0.3,8.6,0.0,0.3,2.2,2.2,0.0,0.0,0.3,8.6,0.0,0.3,2.2,2.2,0.0,0.0
2017-10-02,0.4,9.9,0.0,0.3,2.5,2.5,0.0,0.0,0.4,9.9,0.0,0.3,2.5,2.5,0.0,0.0
2017-10-03,0.4,11.1,0.1,0.3,2.7,2.7,0.0,0.0,0.4,11.1,0.1,0.3,2.7,2.7,0.0,0.0
2017-10-04,0.4,12.4,0.1,0.3,3.0,3.0,0.0,0.0,0.4,12.4,0.1,0.3,3.0,3.0,0.0,0.0
2017-10-05,0.5,13.6,0.1,0.3,3.3,3.3,0.0,0.0,0.5,13.6,0.1,0.3,3.3,3.3,0.0,0.0
2017-10-06,0.5,14.9,0.2,0.3,3.6,3.6,0.0,0.0,0.5,14.9,0.2,0.3,3.6,3.6,0.0,0.0
2017-10-07,0.5,16.2,0.3,0.4,5.2,5.2,0.0,0.0,0.5,16.2,0.3,0.4,5.1,5.1,0.0,0.0
2017-10-08,0.6,17.4,0.3,0.7,9.6,9.6,0.0,0.0,0.6,17.4,0.3,0.7,9.4,9.4,0.0,0.0
2017-10-09,0.6,18.5,0.4,1.1,15.6,15.6,0.0,0.0,0.6,18.5,0.4,1.1,15.2,15.2,0.0,0.0
2017-10-10,0.6,19.7,0.5,1.6,22.7,22.7,0.0,0.0,0.6,19.7,0.5,1.6,22.2,22.2,0.0,0.0
2017-10-11,0.6,20.9,0.5,2.0,29.0,29.0,0.0,0.0,0.6,20.9,0.5,1.9,28.3,28.3,0.0,0.0
2017-10-12,0.7,22.1,0.6,2.2,32.4,32.4,0.0,0.0,0.7,22.1,0.6,2.1,31.7,31.7,0.0,0.0
2017-10-13,0.7,23.3,0.7,2.8,42.1,42.1,0.0,0.0,0.7,23.3,0.7,2.7,41.2,41.2,0.0,0.0
2017-10-14,0.7,24.4,0.8,3.5,54.7,54.7,0.0,0.0,0.7,24.4,0.8,3.4,53.5,53.5,0.0,0.0
2017-10-15,0.8,25.6,0.9,4.0,63.4,63.4,0.0,0.0,0.8,25.6,0.9,3.9,62.1,62.1,0.0,0.0
2017-10-16,0.8,26.9,1.0,4.3,69.9,69.9,0.0,0.0,0.8,26.9,1.0,4.2,68.5,68.5,0.0,0.0
2017-10-17,0.8,28.1,1.0,4.9,80.7,80.7,0.0,0.0,0.8,28.1,1.0,4.8,79.0,79.0,0.0,0.0
2017-10-18,0.9,29.3,1.1,5.6,93.8,93.8,0.0,0.0,0.9,29.3,1.1,5.4,91.8,91.8,0.0,0.0
2017-10-19,0.9,30.6,1.2,6.2,106.8,106.8,0.0,0.0,0.9,30.6,1.2,6.1,104.6,104.6,0.0,0.0
2017-10-20,0.9,31.7,1.4,7.6,133.3,133.3,0.0,0.0,0.9,31.7,1.4,7.5,130.4,130.4,0.0,0.0
2017-10-21,1.0,33.0,1.5,9.7,171.8,171.8,0.0,0.0,1.0,33.0,1.5,9.5,167.4,167.4,0.0,0.0
2017-10-22,1.0,34.2,1.5,11.6,208.0,208.0,0.0,0.4,1.0,34.2,1.5,11.3,202.3,202.3,0.0,0.4
2017-10-23,1.0,35.4,1.7,13.4,242.9,242.9,0.0,1.0,1.0,35.4,1.7,13.0,236.1,236.1,0.0,1.0
2017-10-24,1.0,36.5,1.8,15.0,275.5,275.5,0.0,1.0,1.0,36.5,1.8,14.6,267.9,267.9,0.0,1.0
2017-10-25,1.0,37.6,1.8,16.5,307.0,307.0,0.0,1.0,1.0,37.6,1.8,16.0,298.5,298.5,0.0,1.0
2017-10-26,1.0,38.6,1.9,18.1,341.0,341.0,0.0,1.0,1.0,38.6,1.9,17.6,331.5,331.5,0.0,1.0
2017-10-27,1.0,39.8,2.0,19.6,372.2,372.2,0.0,1.0,1.0,39.8,2.0,19.0,361.6,361.6,0.0,1.0
2017-10-28,1.0,41.0,2.1,20.4,392.0,392.0,0.0,1.0,1.0,41.0,2.1,19.8,380.8,380.8,0.0,1.0
2017-10-29,1.1,42.2,2.3,20.9,404.9,404.9,0.0,1.0,1.1,42.2,2.3,20.3,393.3,393.3,0.0,1.0
2017-10-30,1.1,43.2,2.3,21.6,423.2,423.2,0.0,1.0,1.1,43.2,2.3,21.0,411.1,411.1,0.0,1.0
2017-10-31,1.1,44.1,2.4,22.4,442.0,442.0,0.0,1.0,1.1,44.1,2.4,21.8,429.5,429.5,0.0,1.0
