,dvs,leaf.number,LAI,DW(g/m2),pot.FW(g),real.FW(g),loss(%),bolting
2017-09-20,0.0,6.0,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-21,0.0,6.1,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-22,0.1,6.2,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-23,0.1,6.3,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-24,0.1,6.4,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-25,0.2,6.5,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-26,0.2,6.5,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-27,0.2,6.6,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-28,0.2,6.7,0.0,0.3,1.7,1.7,0.0,0.0
2017-09-29,0.3,6.8,0.0,0.3,1.8,1.8,0.0,0.0
2017-09-30,0.3,7.4,0.0,0.3,1.9,1.9,0.0,0.0
2017-10-01,0.3,8.6,0.0,0.3,2.2,2.2,0.0,0.0
2017-10-02,0.4,9.9,0.0,0.3,2.4,2.4,0.0,0.0
2017-10-03,0.4,11.1,0.1,0.3,2.7,2.7,0.0,0.0
2017-10-04,0.4,12.3,0.1,0.3,3.1,3.1,0.0,0.0
2017-10-05,0.5,13.6,0.1,0.3,3.8,3.8,0.0,0.0
2017-10-06,0.5,14.8,0.2,0.4,4.9,4.9,0.0,0.0
2017-10-07,0.5,16.1,0.3,0.6,7.3,7.3,0.0,0.0
2017-10-08,0.5,17.3,0.3,0.9,11.4,11.4,0.0,0.0
2017-10-09,0.6,18.5,0.4,1.2,16.8,16.8,0.0,0.0
2017-10-10,0.6,19.6,0.5,1.7,23.7,23.7,0.0,0.0
2017-10-11,0.6,20.8,0.5,2.2,31.9,31.9,0.0,0.0
2017-10-12,0.7,22.0,0.6,2.8,42.3,42.3,0.0,0.0
2017-10-13,0.7,23.1,0.7,3.7,56.2,56.2,0.0,0.0
2017-10-14,0.7,24.3,0.8,4.7,72.9,72.9,0.0,0.0
2017-10-15,0.8,25.5,0.9,5.7,91.1,91.1,0.0,0.0
2017-10-16,0.8,26.7,0.9,6.8,111.0,111.0,0.0,0.0
2017-10-17,0.8,28.0,1.0,8.1,134.7,134.7,0.0,0.0
