,dvs,leaf.number,LAI,DW(g/m2),pot.FW(g),real.FW(g),loss(%),bolting
2017-09-20,0.0,6.0,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-21,0.0,6.1,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-22,0.1,6.2,0.0,0.3,1.6,1.6,0.0,0.0
2017-09-23,0.1,6.9,0.0,0.3,1.8,1.8,0.0,0.0
2017-09-24,0.1,8.1,0.0,0.3,2.1,2.1,0.0,0.0
2017-09-25,0.2,9.2,0.0,0.3,2.3,2.3,0.0,0.0
2017-09-26,0.2,10.4,0.0,0.3,2.5,2.5,0.0,0.0
2017-09-27,0.2,11.5,0.1,0.3,2.7,2.7,0.0,0.0
2017-09-28,0.2,12.7,0.1,0.3,3.0,3.0,0.0,0.0
2017-09-29,0.3,13.9,0.2,0.3,4.0,4.0,0.0,0.0
2017-09-30,0.3,15.1,0.2,0.5,6.3,6.3,0.0,0.0
2017-10-01,0.3,16.3,0.3,0.6,8.1,8.1,0.0,0.0
2017-10-02,0.4,17.5,0.3,0.7,8.8,8.8,0.0,0.0
2017-10-03,0.4,18.8,0.4,0.9,11.8,11.8,0.0,0.0
2017-10-04,0.4,20.0,0.5,1.2,17.6,17.6,0.0,0.0
2017-10-05,0.5,21.3,0.6,1.5,22.5,22.5,0.0,0.0
2017-10-06,0.5,22.6,0.7,1.8,27.7,27.7,0.0,0.0
2017-10-07,0.5,23.8,0.7,2.4,37.1,37.1,0.0,0.0
2017-10-08,0.6,25.0,0.8,3.7,57.9,57.9,0.0,0.0
2017-10-09,0.6,26.2,0.9,5.2,84.2,84.2,0.0,0.0
2017-10-10,0.6,27.4,1.0,6.8,111.3,111.3,0.0,0.0
2017-10-11,0.6,28.6,1.1,8.0,133.5,133.5,0.0,0.0
2017-10-12,0.7,29.8,1.2,8.5,144.7,144.7,0.0,0.0
2017-10-13,0.7,30.9,1.3,9.7,166.8,166.8,0.0,0.0
2017-10-14,0.7,32.1,1.4,11.2,195.4,195.4,0.0,0.0
2017-10-15,0.8,33.3,1.5,12.2,216.0,216.0,0.0,0.0
2017-10-16,0.8,34.5,1.6,12.8,230.5,230.5,0.0,0.0
2017-10-17,0.8,35.7,1.7,13.8,251.7,251.7,0.0,0.0
